role,features
Business Analyst,"UML, Excel, Requirement Gathering, SQL, Data Modeling"
Police Officer,"Firearms Training, Law Enforcement, Traffic Control, Physical Fitness, Investigation"
Business Analyst,"Requirement Gathering, UML, SQL, Data Modeling, Power BI"
DevOps Engineer,"Kubernetes, Linux, CI/CD, Monitoring, Terraform, Docker"
Doctor,"Anatomy, Physiology, Patient Care, Diagnosis, Prescribing"
Teacher,"Lesson Planning, Student Assessment, Communication, Classroom Management, Subject Knowledge"
Doctor,"Patient Care, Surgery, Diagnosis, Physiology"
Product Manager,"Analytics, Customer Research, Roadmaps"
Police Officer,"Firearms Training, Traffic Control, Law Enforcement, Physical Fitness, Investigation"
Civil Engineer,"Structural Design, Project Management, Site Supervision, AutoCAD, Concrete Technology"
Lawyer,"Civil Law, Court Procedures, Legal Research, Drafting, Criminal Law"
Journalist,"Research, Reporting, Writing, Editing"
Army Personnel,"Survival Skills, First Aid, Strategy, Discipline"
Plumber,"Water Systems, Blueprint Reading, Pipe Fitting, Repair, Sanitation"
Software Engineer,"Java, OOP, C++"
Business Analyst,"Requirement Gathering, SQL, UML, Excel"
Nurse,"Patient Monitoring, IV Insertion, Medical Records, First Aid, Emergency Response"
DevOps Engineer,"CI/CD, Terraform, Monitoring"
Data Scientist,"Scikit-learn, NumPy, Matplotlib, Python"
Web Developer,"React, JavaScript, MongoDB, HTML, CSS, Node.js"
Web Developer,"Node.js, HTML, Express, JavaScript, CSS"
AI Researcher,"Mathematics, Python, Research, TensorFlow"
HR Manager,"Training, Recruitment, Employee Relations, Compliance, Payroll"
Business Analyst,"UML, Power BI, Data Modeling, Excel"
Machine Learning Engineer,"TensorFlow, Scikit-learn, PyTorch, ML algorithms, Keras"
HR Manager,"Employee Relations, Compliance, Payroll"
Software Engineer,"Agile, OOP, Git, C++, Java, Linux"
Product Manager,"Scrum, Analytics, Wireframing, Customer Research, Agile"
Electrician,"Wiring, Troubleshooting, Installation, Safety Compliance, Circuit Design"
Sales Executive,"CRM, Target Achievement, Negotiation, Lead Generation, Product Knowledge"
Electrician,"Circuit Design, Troubleshooting, Wiring, Safety Compliance, Installation"
Mobile App Developer,"Swift, Android Studio, Flutter, React Native, Java"
Journalist,"Writing, Editing, Research"
Army Personnel,"Discipline, Survival Skills, First Aid, Strategy, Combat Training"
Sales Executive,"Lead Generation, Target Achievement, CRM, Negotiation, Product Knowledge"
Cloud Engineer,"Cloud Architecture, AWS, Azure, Networking, Terraform, GCP"
Lawyer,"Legal Research, Criminal Law, Civil Law, Drafting, Court Procedures"
Machine Learning Engineer,"Python, NLP, PyTorch"
Web Developer,"MongoDB, JavaScript, Express, CSS"
Cybersecurity Analyst,"Ethical Hacking, Python, Firewalls, IDS/IPS, Vulnerability Assessment"
Mechanical Engineer,"CAD, SolidWorks, Thermodynamics, Material Science, Maintenance"
Army Personnel,"Strategy, Survival Skills, First Aid, Discipline"
Teacher,"Classroom Management, Lesson Planning, Communication"
Lawyer,"Drafting, Court Procedures, Criminal Law, Civil Law"
Web Developer,"React, HTML, Node.js"
Lawyer,"Civil Law, Advocacy, Drafting, Criminal Law, Court Procedures, Legal Research"
UI/UX Designer,"Adobe XD, Figma, Design Systems, User Research"
Nurse,"First Aid, Patient Monitoring, IV Insertion, Emergency Response"
Electrician,"Troubleshooting, Circuit Design, Safety Compliance"
Civil Engineer,"Site Supervision, AutoCAD, Project Management, Concrete Technology, Structural Design"
Electrician,"Installation, Safety Compliance, Troubleshooting, Circuit Design, Wiring"
Teacher,"Student Assessment, Lesson Planning, Classroom Management, Subject Knowledge, Communication"
DevOps Engineer,"Kubernetes, Terraform, Monitoring, Linux, Docker"
Nurse,"Emergency Response, IV Insertion, First Aid, Patient Monitoring, Medical Records"
Sales Executive,"Lead Generation, Target Achievement, Product Knowledge, CRM"
Mechanical Engineer,"Thermodynamics, SolidWorks, Maintenance, CAD, Material Science"
HR Manager,"Employee Relations, Recruitment, Training"
Accountant,"Bookkeeping, Taxation, Financial Analysis"
Doctor,"Patient Care, Physiology, Surgery"
HR Manager,"Employee Relations, Training, Compliance, Recruitment, Payroll"
Web Developer,"Express, JavaScript, React, Node.js, MongoDB"
Cybersecurity Analyst,"Networking, Python, IDS/IPS, Firewalls, Ethical Hacking, Vulnerability Assessment"
Electrician,"Safety Compliance, Installation, Troubleshooting, Wiring, Circuit Design"
Cybersecurity Analyst,"Vulnerability Assessment, IDS/IPS, Python"
Business Analyst,"UML, SQL, Requirement Gathering, Excel, Data Modeling"
Software Engineer,"C++, Linux, Java, Agile, OOP"
Professor,"Seminars, Academic Writing, Grading, Teaching, Research"
Civil Engineer,"Site Supervision, Project Management, AutoCAD"
Police Officer,"Investigation, Physical Fitness, Traffic Control, Firearms Training, Law Enforcement"
AI Researcher,"Python, NLP, TensorFlow, Deep Learning, Mathematics, Research"
AI Researcher,"Mathematics, Python, Research"
Teacher,"Lesson Planning, Subject Knowledge, Classroom Management, Student Assessment"
Accountant,"Bookkeeping, Excel, Financial Analysis, Taxation"
Journalist,"Reporting, Editing, Interviewing, Research"
Civil Engineer,"AutoCAD, Structural Design, Project Management"
Civil Engineer,"Concrete Technology, Site Supervision, Project Management, AutoCAD, Structural Design"
Electrician,"Circuit Design, Wiring, Troubleshooting, Safety Compliance, Installation"
Nurse,"IV Insertion, Patient Monitoring, First Aid"
Nurse,"Patient Monitoring, First Aid, Emergency Response, Medical Records, IV Insertion"
Teacher,"Lesson Planning, Subject Knowledge, Classroom Management, Communication, Student Assessment"
UI/UX Designer,"Prototyping, User Research, Figma, Design Systems, Wireframing"
Army Personnel,"Survival Skills, Combat Training, Strategy, First Aid, Discipline"
Mechanical Engineer,"SolidWorks, Material Science, Maintenance, CAD"
Mechanical Engineer,"Thermodynamics, SolidWorks, CAD, Material Science, Maintenance"
HR Manager,"Training, Compliance, Recruitment"
Cloud Engineer,"Cloud Architecture, Terraform, GCP, Azure"
Product Manager,"Customer Research, Agile, Analytics"
Teacher,"Communication, Student Assessment, Lesson Planning, Subject Knowledge, Classroom Management"
Lawyer,"Drafting, Court Procedures, Civil Law, Legal Research"
Architect,"AutoCAD, Building Codes, Design, Blueprints"
Army Personnel,"First Aid, Strategy, Survival Skills, Combat Training"
Mechanical Engineer,"Maintenance, SolidWorks, Material Science, CAD"
Software Engineer,"Agile, Linux, C++"
Army Personnel,"Strategy, Survival Skills, First Aid, Combat Training, Discipline"
Cloud Engineer,"Linux, Networking, Azure, Terraform, Cloud Architecture, AWS"
Product Manager,"Scrum, Agile, Roadmaps, Wireframing"
Architect,"Blueprints, AutoCAD, 3D Modeling, Building Codes"
Architect,"3D Modeling, AutoCAD, Blueprints"
Nurse,"Patient Monitoring, Emergency Response, First Aid, Medical Records"
Data Scientist,"Matplotlib, SQL, Jupyter, NumPy, Scikit-learn, Pandas"
Civil Engineer,"Concrete Technology, Structural Design, Project Management, Site Supervision"
Civil Engineer,"AutoCAD, Site Supervision, Concrete Technology, Structural Design"
DevOps Engineer,"Linux, Monitoring, Docker"
Cybersecurity Analyst,"IDS/IPS, Python, Ethical Hacking, Vulnerability Assessment"
Teacher,"Lesson Planning, Student Assessment, Subject Knowledge, Classroom Management"
Business Analyst,"Excel, Power BI, UML, Requirement Gathering, Data Modeling, SQL"
Journalist,"Interviewing, Reporting, Research, Editing, Writing"
Data Scientist,"SQL, Scikit-learn, Jupyter, Python"
Business Analyst,"Power BI, UML, Data Modeling"
AI Researcher,"TensorFlow, NLP, Mathematics, Research"
Teacher,"Lesson Planning, Classroom Management, Subject Knowledge, Communication"
Civil Engineer,"Project Management, Site Supervision, AutoCAD, Concrete Technology"
Army Personnel,"Strategy, Survival Skills, Discipline, Combat Training, First Aid"
UI/UX Designer,"Design Systems, Wireframing, Prototyping"
Nurse,"Emergency Response, First Aid, IV Insertion, Patient Monitoring"
Machine Learning Engineer,"Scikit-learn, Keras, Python"
DevOps Engineer,"Linux, Terraform, Monitoring, Docker"
Data Scientist,"SQL, Python, Scikit-learn"
Police Officer,"Physical Fitness, Firearms Training, Investigation, Law Enforcement, Traffic Control"
Journalist,"Interviewing, Reporting, Writing"
Army Personnel,"Strategy, First Aid, Survival Skills"
Teacher,"Subject Knowledge, Lesson Planning, Communication"
Doctor,"Patient Care, Diagnosis, Physiology, Surgery, Anatomy, Prescribing"
Mechanical Engineer,"CAD, Thermodynamics, Material Science, Maintenance"
HR Manager,"Recruitment, Compliance, Employee Relations, Training, Payroll"
Machine Learning Engineer,"PyTorch, TensorFlow, Scikit-learn, NLP, Python, ML algorithms"
Police Officer,"Law Enforcement, Physical Fitness, Traffic Control, Firearms Training, Investigation"
Journalist,"Editing, Reporting, Interviewing, Writing, Research"
Cloud Engineer,"Linux, GCP, Azure, AWS, Terraform"
Professor,"Grading, Academic Writing, Seminars, Teaching"
Teacher,"Student Assessment, Subject Knowledge, Communication, Lesson Planning, Classroom Management"
Doctor,"Prescribing, Diagnosis, Patient Care, Surgery"
Machine Learning Engineer,"NLP, Python, Scikit-learn, ML algorithms, Keras, TensorFlow"
Web Developer,"HTML, Node.js, MongoDB"
Plumber,"Sanitation, Repair, Blueprint Reading, Water Systems"
Nurse,"IV Insertion, First Aid, Medical Records, Emergency Response"
Plumber,"Pipe Fitting, Repair, Sanitation, Water Systems, Blueprint Reading"
Business Analyst,"Data Modeling, SQL, UML"
Product Manager,"Agile, Wireframing, Roadmaps, Analytics, Customer Research, Scrum"
Cloud Engineer,"Cloud Architecture, Networking, GCP, Terraform"
AI Researcher,"Python, TensorFlow, Research, NLP"
UI/UX Designer,"Prototyping, Wireframing, User Research"
Web Developer,"HTML, JavaScript, CSS"
Mobile App Developer,"React Native, Kotlin, Java, Flutter, Swift, Android Studio"
Software Engineer,"Git, C++, Java"
Professor,"Research, Seminars, Teaching, Academic Writing, Grading"
Journalist,"Writing, Research, Editing"
UI/UX Designer,"Design Systems, User Research, Adobe XD"
Sales Executive,"Target Achievement, Lead Generation, Negotiation, CRM"
Nurse,"First Aid, Medical Records, IV Insertion, Patient Monitoring, Emergency Response"
Mobile App Developer,"Java, React Native, Flutter, Kotlin, Swift"
Nurse,"IV Insertion, Patient Monitoring, First Aid, Emergency Response"
Civil Engineer,"Site Supervision, Project Management, Concrete Technology"
Data Scientist,"Jupyter, SQL, Matplotlib, Python"
Data Scientist,"NumPy, Matplotlib, Python, Jupyter"
Mobile App Developer,"React Native, Flutter, Android Studio"
UI/UX Designer,"Adobe XD, Figma, Design Systems"
Cybersecurity Analyst,"Networking, Firewalls, Vulnerability Assessment, Ethical Hacking, Python, IDS/IPS"
Data Scientist,"Scikit-learn, Matplotlib, NumPy, Python"
AI Researcher,"TensorFlow, Research, Mathematics"
Product Manager,"Agile, Wireframing, Analytics, Scrum, Roadmaps, Customer Research"
Business Analyst,"Requirement Gathering, Excel, Data Modeling, SQL, UML, Power BI"
Plumber,"Water Systems, Pipe Fitting, Repair, Sanitation, Blueprint Reading"
Nurse,"First Aid, IV Insertion, Patient Monitoring, Emergency Response, Medical Records"
Police Officer,"Firearms Training, Law Enforcement, Physical Fitness, Traffic Control, Investigation"
Product Manager,"Scrum, Agile, Customer Research, Wireframing, Roadmaps"
Doctor,"Patient Care, Prescribing, Diagnosis, Surgery"
Software Engineer,"OOP, C++, Git"
Nurse,"IV Insertion, Emergency Response, Patient Monitoring, First Aid, Medical Records"
Professor,"Research, Grading, Teaching, Academic Writing"
Electrician,"Wiring, Circuit Design, Troubleshooting"
Cybersecurity Analyst,"IDS/IPS, Networking, Ethical Hacking, Firewalls, Python"
Electrician,"Safety Compliance, Troubleshooting, Wiring, Circuit Design, Installation"
DevOps Engineer,"Monitoring, Docker, CI/CD, Linux"
Professor,"Research, Teaching, Grading, Seminars"
Doctor,"Surgery, Diagnosis, Patient Care"
Professor,"Grading, Teaching, Academic Writing, Seminars"
Cybersecurity Analyst,"Python, Firewalls, Ethical Hacking"
HR Manager,"Training, Compliance, Recruitment, Payroll, Employee Relations"
Machine Learning Engineer,"ML algorithms, NLP, PyTorch, Scikit-learn"
AI Researcher,"Mathematics, Research, Python, NLP, Deep Learning, TensorFlow"
HR Manager,"Recruitment, Compliance, Payroll"
Teacher,"Lesson Planning, Communication, Subject Knowledge, Classroom Management, Student Assessment"
Teacher,"Lesson Planning, Student Assessment, Communication, Classroom Management, Subject Knowledge"
Software Engineer,"Python, C++, OOP, Agile, Git"
HR Manager,"Payroll, Recruitment, Compliance, Employee Relations, Training"
Mechanical Engineer,"Material Science, Maintenance, CAD, SolidWorks"
Sales Executive,"CRM, Target Achievement, Negotiation, Product Knowledge, Lead Generation"
Data Scientist,"Python, Matplotlib, NumPy, Scikit-learn, SQL"
Mechanical Engineer,"SolidWorks, Maintenance, CAD, Thermodynamics"
Cloud Engineer,"AWS, Cloud Architecture, Networking"
Web Developer,"Express, HTML, Node.js, MongoDB"
AI Researcher,"Research, Mathematics, TensorFlow"
AI Researcher,"Deep Learning, Python, Mathematics, NLP, TensorFlow, Research"
Professor,"Research, Academic Writing, Grading, Seminars"
Teacher,"Communication, Student Assessment, Lesson Planning, Classroom Management, Subject Knowledge"
Army Personnel,"Survival Skills, Discipline, Strategy, First Aid, Combat Training"
Nurse,"Patient Monitoring, Medical Records, Emergency Response, IV Insertion, First Aid"
Army Personnel,"Combat Training, Discipline, Strategy, First Aid, Survival Skills"
DevOps Engineer,"Kubernetes, Monitoring, AWS, CI/CD, Docker"
Data Scientist,"Scikit-learn, Pandas, SQL, NumPy"
Lawyer,"Civil Law, Legal Research, Criminal Law, Advocacy, Court Procedures, Drafting"
HR Manager,"Payroll, Employee Relations, Compliance"
Lawyer,"Civil Law, Court Procedures, Legal Research, Drafting, Advocacy, Criminal Law"
Software Engineer,"Java, Git, Python"
Police Officer,"Traffic Control, Investigation, Law Enforcement, Firearms Training"
Architect,"AutoCAD, Building Codes, 3D Modeling, Blueprints, Design"
Professor,"Grading, Seminars, Teaching, Research, Academic Writing"
Cloud Engineer,"Networking, Linux, Terraform, Azure, Cloud Architecture"
Mechanical Engineer,"SolidWorks, Material Science, CAD, Maintenance"
Teacher,"Classroom Management, Communication, Subject Knowledge, Lesson Planning"
Accountant,"Taxation, Financial Analysis, Tally, Bookkeeping"
Professor,"Academic Writing, Research, Grading, Teaching"
Machine Learning Engineer,"Python, NLP, TensorFlow"
Accountant,"Taxation, Financial Analysis, Tally"
Electrician,"Safety Compliance, Troubleshooting, Installation"
AI Researcher,"Deep Learning, Mathematics, Research, NLP, TensorFlow, Python"
Business Analyst,"Data Modeling, SQL, UML, Requirement Gathering"
Cybersecurity Analyst,"Networking, Firewalls, IDS/IPS, Python"
Plumber,"Blueprint Reading, Pipe Fitting, Sanitation, Water Systems, Repair"
Machine Learning Engineer,"Scikit-learn, Python, PyTorch, ML algorithms"
Accountant,"Tally, Excel, Taxation"
Cloud Engineer,"GCP, AWS, Terraform, Cloud Architecture, Networking"
Cloud Engineer,"Cloud Architecture, Azure, AWS"
Journalist,"Reporting, Research, Editing, Interviewing"
Nurse,"Emergency Response, Patient Monitoring, IV Insertion"
Civil Engineer,"AutoCAD, Site Supervision, Structural Design, Project Management, Concrete Technology"
Sales Executive,"Lead Generation, Target Achievement, Product Knowledge"
DevOps Engineer,"AWS, CI/CD, Terraform"
Lawyer,"Advocacy, Court Procedures, Legal Research, Civil Law, Criminal Law, Drafting"
Web Developer,"React, HTML, MongoDB, Node.js, JavaScript, Express"
HR Manager,"Recruitment, Payroll, Training, Compliance, Employee Relations"
Data Scientist,"Python, Pandas, Matplotlib, Scikit-learn, Jupyter, SQL"
Mobile App Developer,"Android Studio, Flutter, Kotlin, Swift, React Native, Java"
Machine Learning Engineer,"ML algorithms, PyTorch, NLP, Keras, TensorFlow"
Machine Learning Engineer,"NLP, PyTorch, TensorFlow, Python, Scikit-learn, ML algorithms"
Sales Executive,"Target Achievement, Product Knowledge, CRM, Negotiation, Lead Generation"
Cybersecurity Analyst,"Python, Firewalls, IDS/IPS, Networking"
